i,ui
700, 11.979057591574827
701, 11.939127399602908
702, 11.899197207630989
703, 11.85926701565907
704, 11.819336823687147
705, 11.779406631715228
706, 11.73947643974331
707, 11.69954624777139
708, 11.65961605579947
709, 11.61968586382755
710, 11.579755671855633
711, 11.539825479883715
712, 11.499895287911798
713, 11.459965095939882
714, 11.420034903967965
715, 11.380104711996049
716, 11.340174520024133
717, 11.300244328052216
718, 11.260314136080297
719, 11.220383944108379
720, 11.180453752136462
721, 11.140523560164544
722, 11.100593368192627
723, 11.060663176220709
724, 11.020732984248792
725, 10.980802792276874
726, 10.940872600304957
727, 10.900942408333039
728, 10.861012216361123
729, 10.821082024389206
730, 10.78115183241729
731, 10.741221640445373
732, 10.701291448473455
733, 10.66136125650154
734, 10.621431064529624
735, 10.581500872557708
736, 10.541570680585792
737, 10.501640488613875
738, 10.461710296641959
739, 10.421780104670045
740, 10.38184991269813
741, 10.341919720726212
742, 10.301989528754298
743, 10.262059336782382
744, 10.222129144810467
745, 10.18219895283855
746, 10.142268760866635
747, 10.102338568894721
748, 10.062408376922805
749, 10.022478184950888
750, 9.982547992978974
751, 9.942617801007062
752, 9.902687609035146
753, 9.862757417063232
754, 9.822827225091318
755, 9.782897033119404
756, 9.74296684114749
757, 9.703036649175576
758, 9.66310645720366
759, 9.623176265231747
760, 9.583246073259833
761, 9.543315881287919
762, 9.503385689316007
763, 9.463455497344095
764, 9.423525305372182
765, 9.383595113400268
766, 9.343664921428354
767, 9.303734729456442
768, 9.263804537484527
769, 9.223874345512613
770, 9.1839441535407
771, 9.144013961568787
772, 9.104083769596873
773, 9.064153577624959
774, 9.024223385653046
775, 8.984293193681133
776, 8.94436300170922
777, 8.90443280973731
778, 8.864502617765398
779, 8.824572425793484
780, 8.784642233821572
781, 8.74471204184966
782, 8.704781849877744
783, 8.664851657905832
784, 8.62492146593392
785, 8.584991273962007
786, 8.545061081990095
787, 8.505130890018183
788, 8.46520069804627
789, 8.425270506074359
790, 8.385340314102447
791, 8.345410122130534
792, 8.305479930158622
793, 8.26554973818671
794, 8.225619546214798
795, 8.185689354242886
796, 8.145759162270974
797, 8.105828970299061
798, 8.065898778327147
799, 8.025968586355233
800, 7.98603839438332
801, 7.9461082024114065
802, 7.906178010439493
803, 7.86624781846758
804, 7.826317626495667
805, 7.786387434523753
806, 7.7464572425518385
807, 7.7065270505799255
808, 7.666596858608012
809, 7.6266666666360985
810, 7.5867364746641845
811, 7.546806282692271
812, 7.506876090720357
813, 7.466945898748442
814, 7.427015706776526
815, 7.387085514804611
816, 7.347155322832696
817, 7.30722513086078
818, 7.267294938888865
819, 7.22736474691695
820, 7.187434554945035
821, 7.14750436297312
822, 7.107574171001204
823, 7.067643979029289
824, 7.027713787057373
825, 6.9877835950854585
826, 6.947853403113544
